1,"1A"
2,"1B"
3,"2A"
4,"2B"
5,"3A"
6,"3B"
7,"4A"
8,"4B"
9,"1C"
10,"2C"
11,"3C"
12,"4C"
13,"5C"
14,"6C"
15,"7C"
16,"5A"
17,"6A"
18,"5B"
19,"6B"
20,"5D"
21,"6D"
22,"5E"
23,"6E"
24,"7E"
25,"7A"
26,"7B"
27,"7D"
28,"8A"
29,"8B"
30,"8C"
31,"8D"
32,"8E"
33,"9B"
34,"9C"
35,"9E"
36,"10A"
